"PLAYER","TEAM","BYE","REC","REC YDS","REC TDS","RUSH ATT","RUSH YDS","RUSH TDS","FMBLS","PPR"
"Isaiah McKenzie","BUF","6","5.90","86.80","0.40","0.50","3.20","0.10","0.00","17.90"
"Mack Hollins","PHI","10","5.20","84.80","0.60","0.00","0.00","0.00","0.00","17.30"
"Amara Darboh","SEA","11","6.10","70.40","0.60","0.00","0.00","0.00","0.00","16.70"
"Byron Marshall","WAS","10","5.40","97.40","0.20","0.40","1.00","0.00","0.00","16.40"
"Brian Quick","WAS","10","6.20","74.50","0.40","0.00","0.00","0.00","0.00","16.10"
"Artavis Scott","LAC","12","5.80","76.90","0.40","0.00","0.00","0.00","0.00","15.90"
"K.J. Brent","TB","7","7.40","66.50","0.30","0.00","0.00","0.00","0.00","15.90"
"Brandon Powell","DET","5","6.30","77.20","0.30","0.10","0.10","0.00","0.00","15.80"
"Deontay Burnett","NYJ","4","5.40","76.20","0.50","0.00","0.00","0.00","0.00","16.00"
"Braxton Berrios","NE","10","6.00","70.60","0.30","0.00","0.00","0.00","0.00","14.90"
"Zach Pascal","IND","6","5.00","67.40","0.40","0.10","0.20","0.00","0.00","14.20"
"Josh Malone","CIN","9","5.00","63.90","0.30","0.10","-0.10","0.00","0.00","13.20"
"Cedrick Wilson","DAL","8","4.70","57.60","0.40","0.00","0.00","0.00","0.00","12.90"
"Darius Jennings","TEN","11","5.50","56.40","0.30","0.20","0.60","0.00","0.00","13.00"
"Geremy Davis","LAC","12","4.30","58.80","0.40","0.00","0.00","0.00","0.00","12.60"
"Marvin Hall","CHI","6","3.90","58.30","0.30","0.00","0.00","0.00","0.00","11.50"
"Josh Bellamy","NYJ","4","3.90","52.30","0.30","0.00","0.00","0.00","0.00","10.90"
"Ray-Ray McCloud","BUF","6","2.70","49.40","0.20","3.40","15.90","0.10","0.10","10.90"
"Jaelen Strong","CLE","7","2.90","52.00","0.50","0.00","0.00","0.00","0.00","11.10"
"Vince Mayle","LAC","12","2.60","44.80","0.60","0.10","-0.10","0.00","0.00","10.70"
"Kevin White","ARI","12","3.70","50.40","0.30","0.00","0.00","0.00","0.00","10.50"
"Juwann Winfree","DEN","10","4.10","49.80","0.20","0.00","0.00","0.00","0.00","10.30"
"Johnny Holton","PIT","7","4.10","50.90","0.20","0.00","0.00","0.00","0.00","10.40"
"Darvin Kidsy","WAS","10","2.90","44.50","0.50","0.00","0.00","0.00","0.00","10.40"
"Jehu Chesson","WAS","10","3.40","50.10","0.30","0.10","0.10","0.00","0.00","10.20"
"Damion Ratley","CLE","7","2.80","44.40","0.30","0.00","0.00","0.00","0.00","9.00"
"Gehrig Dieter","KC","12","3.10","36.20","0.30","0.00","0.00","0.00","0.00","8.50"
"Lance Lenoir","DAL","8","3.10","36.70","0.30","0.00","0.00","0.00","0.00","8.60"
"Noah Brown","DAL","8","3.40","39.70","0.20","0.00","0.00","0.00","0.00","8.60"
"Jordan Lasley","BAL","8","2.90","38.50","0.30","0.00","0.00","0.00","0.00","8.60"
"Olabisi Johnson","MIN","12","3.20","39.50","0.20","0.00","0.00","0.00","0.00","8.40"
"Preston Williams","MIA","5","3.30","41.50","0.20","0.00","0.00","0.00","0.00","8.70"
"Greg Dortch","NYJ","4","3.00","38.70","0.20","0.00","0.00","0.00","0.00","8.10"
"Tommylee Lewis","DET","5","3.00","33.70","0.30","0.20","1.00","0.00","0.00","8.30"
"Chris Lacy","DET","5","3.40","38.10","0.20","0.00","0.00","0.00","0.00","8.40"
"Cam Sims","WAS","10","3.20","39.20","0.20","0.00","0.00","0.00","0.00","8.30"
"Dwayne Harris","OAK","6","3.20","31.10","0.00","2.00","11.50","0.10","0.00","8.10"
"Braxton Miller","PHI","10","2.80","37.30","0.20","0.00","0.10","0.00","0.00","7.70"
"Brandon Zylstra","MIN","12","2.60","39.00","0.20","0.00","0.00","0.00","0.00","7.70"
"Tanner Gentry","CHI","6","2.80","38.50","0.20","0.00","0.00","0.00","0.00","7.90"
